market,bid,offer,timestamp
FTSE 100,9104.6,9107.6,2025-08-04T05:22:23.245Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:24.869Z
FTSE 100,9104.8,9107.8,2025-08-04T05:22:25.305Z
FTSE 100,9105.2,9108.2,2025-08-04T05:22:25.407Z
FTSE 100,9104.8,9107.8,2025-08-04T05:22:26.969Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:28.455Z
FTSE 100,9105,9108,2025-08-04T05:22:29.294Z
FTSE 100,9105.5,9108.5,2025-08-04T05:22:29.959Z
FTSE 100,9105,9108,2025-08-04T05:22:30.073Z
FTSE 100,9104.7,9107.7,2025-08-04T05:22:30.157Z
FTSE 100,9104.5,9107.5,2025-08-04T05:22:30.409Z
FTSE 100,9104.9,9107.9,2025-08-04T05:22:30.510Z
FTSE 100,9105.3,9108.3,2025-08-04T05:22:30.614Z
FTSE 100,9105.7,9108.7,2025-08-04T05:22:30.758Z
FTSE 100,9106.1,9109.1,2025-08-04T05:22:31.536Z
FTSE 100,9106.4,9109.4,2025-08-04T05:22:31.815Z
FTSE 100,9106,9109,2025-08-04T05:22:31.980Z
FTSE 100,9105.7,9108.7,2025-08-04T05:22:32.252Z
FTSE 100,9105.3,9108.3,2025-08-04T05:22:32.406Z
FTSE 100,9105,9108,2025-08-04T05:22:33.020Z
FTSE 100,9105.4,9108.4,2025-08-04T05:22:33.258Z
FTSE 100,9105.6,9108.6,2025-08-04T05:22:33.554Z
FTSE 100,9105.2,9108.2,2025-08-04T05:22:33.954Z
FTSE 100,9105,9108,2025-08-04T05:22:34.100Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:34.662Z
FTSE 100,9105,9108,2025-08-04T05:22:36.005Z
FTSE 100,9104.7,9107.7,2025-08-04T05:22:36.104Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:36.544Z
FTSE 100,9104.3,9107.3,2025-08-04T05:22:37.397Z
FTSE 100,9104.2,9107.2,2025-08-04T05:22:38.624Z
FTSE 100,9104.3,9107.3,2025-08-04T05:22:39.408Z
FTSE 100,9104.2,9107.2,2025-08-04T05:22:39.537Z
FTSE 100,9104.1,9107.1,2025-08-04T05:22:39.632Z
FTSE 100,9104.3,9107.3,2025-08-04T05:22:40.465Z
FTSE 100,9104.5,9107.5,2025-08-04T05:22:40.795Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:40.986Z
FTSE 100,9104.3,9107.3,2025-08-04T05:22:41.102Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:41.192Z
FTSE 100,9104.9,9107.9,2025-08-04T05:22:41.652Z
FTSE 100,9104.7,9107.7,2025-08-04T05:22:41.982Z
FTSE 100,9105,9108,2025-08-04T05:22:42.514Z
FTSE 100,9104.7,9107.7,2025-08-04T05:22:42.629Z
FTSE 100,9104.5,9107.5,2025-08-04T05:22:42.753Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:42.932Z
FTSE 100,9104.2,9107.2,2025-08-04T05:22:43.105Z
FTSE 100,9104.5,9107.5,2025-08-04T05:22:44.256Z
FTSE 100,9104.3,9107.3,2025-08-04T05:22:44.554Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:45.224Z
FTSE 100,9104.8,9107.8,2025-08-04T05:22:45.381Z
FTSE 100,9105.1,9108.1,2025-08-04T05:22:45.482Z
FTSE 100,9105.4,9108.4,2025-08-04T05:22:45.733Z
FTSE 100,9105.1,9108.1,2025-08-04T05:22:47.006Z
FTSE 100,9104.9,9107.9,2025-08-04T05:22:47.315Z
FTSE 100,9105.2,9108.2,2025-08-04T05:22:48.177Z
FTSE 100,9105.6,9108.6,2025-08-04T05:22:49.391Z
FTSE 100,9105.9,9108.9,2025-08-04T05:22:49.491Z
FTSE 100,9106.1,9109.1,2025-08-04T05:22:49.592Z
FTSE 100,9105.8,9108.8,2025-08-04T05:22:50.422Z
FTSE 100,9105.6,9108.6,2025-08-04T05:22:51.190Z
FTSE 100,9106.1,9109.1,2025-08-04T05:22:51.451Z
FTSE 100,9106.5,9109.5,2025-08-04T05:22:51.551Z
FTSE 100,9106.9,9109.9,2025-08-04T05:22:52.648Z
FTSE 100,9106.6,9109.6,2025-08-04T05:22:52.848Z
FTSE 100,9107,9110,2025-08-04T05:22:52.990Z
FTSE 100,9106.5,9109.5,2025-08-04T05:22:53.263Z
FTSE 100,9106.9,9109.9,2025-08-04T05:22:54.367Z
FTSE 100,9107.3,9110.3,2025-08-04T05:22:55.017Z
FTSE 100,9107,9110,2025-08-04T05:22:55.913Z
FTSE 100,9107.3,9110.3,2025-08-04T05:22:56.533Z
FTSE 100,9107.5,9110.5,2025-08-04T05:22:56.682Z
FTSE 100,9107.1,9110.1,2025-08-04T05:22:56.961Z
FTSE 100,9107.4,9110.4,2025-08-04T05:22:57.655Z
FTSE 100,9107.2,9110.2,2025-08-04T05:22:57.763Z
FTSE 100,9107.5,9110.5,2025-08-04T05:22:57.939Z
FTSE 100,9106.9,9109.9,2025-08-04T05:22:58.076Z
FTSE 100,9107.4,9110.4,2025-08-04T05:22:59.572Z
FTSE 100,9106.8,9109.8,2025-08-04T05:22:59.774Z
FTSE 100,9106.4,9109.4,2025-08-04T05:22:59.959Z
FTSE 100,9106.9,9109.9,2025-08-04T05:23:00.066Z
FTSE 100,9106.4,9109.4,2025-08-04T05:23:00.475Z
FTSE 100,9106,9109,2025-08-04T05:23:00.628Z
FTSE 100,9106.5,9109.5,2025-08-04T05:23:00.698Z
FTSE 100,9106.9,9109.9,2025-08-04T05:23:00.850Z
FTSE 100,9106.5,9109.5,2025-08-04T05:23:01.518Z
FTSE 100,9106.1,9109.1,2025-08-04T05:23:01.696Z
FTSE 100,9106.6,9109.6,2025-08-04T05:23:02.574Z
FTSE 100,9106.1,9109.1,2025-08-04T05:23:03.565Z
FTSE 100,9105.8,9108.8,2025-08-04T05:23:03.699Z
FTSE 100,9106.2,9109.2,2025-08-04T05:23:04.526Z
FTSE 100,9105.9,9108.9,2025-08-04T05:23:04.626Z
FTSE 100,9106.3,9109.3,2025-08-04T05:23:04.891Z
FTSE 100,9106,9109,2025-08-04T05:23:04.985Z
FTSE 100,9106.3,9109.3,2025-08-04T05:23:05.091Z
FTSE 100,9106,9109,2025-08-04T05:23:06.542Z
FTSE 100,9105.9,9108.9,2025-08-04T05:23:06.637Z
FTSE 100,9105.7,9108.7,2025-08-04T05:23:07.800Z
FTSE 100,9105.5,9108.5,2025-08-04T05:23:08.061Z
FTSE 100,9105.7,9108.7,2025-08-04T05:23:08.146Z
FTSE 100,9105.6,9108.6,2025-08-04T05:23:08.341Z
FTSE 100,9105.9,9108.9,2025-08-04T05:23:08.645Z
FTSE 100,9106.3,9109.3,2025-08-04T05:23:09.488Z
FTSE 100,9106,9109,2025-08-04T05:23:09.690Z
FTSE 100,9105.8,9108.8,2025-08-04T05:23:10.131Z
FTSE 100,9106.2,9109.2,2025-08-04T05:23:10.237Z
FTSE 100,9106.6,9109.6,2025-08-04T05:23:10.390Z
FTSE 100,9106.2,9109.2,2025-08-04T05:23:11.511Z
FTSE 100,9106.6,9109.6,2025-08-04T05:23:11.708Z
FTSE 100,9106.4,9109.4,2025-08-04T05:23:12.144Z
FTSE 100,9106,9109,2025-08-04T05:23:12.211Z
FTSE 100,9105.9,9108.9,2025-08-04T05:23:12.538Z
FTSE 100,9106.2,9109.2,2025-08-04T05:23:12.641Z
FTSE 100,9106.4,9109.4,2025-08-04T05:23:13.529Z
FTSE 100,9107,9110,2025-08-04T05:23:13.632Z
FTSE 100,9106.5,9109.5,2025-08-04T05:23:13.726Z
FTSE 100,9107,9110,2025-08-04T05:23:14.398Z
FTSE 100,9107.5,9110.5,2025-08-04T05:23:14.582Z
FTSE 100,9107.7,9110.7,2025-08-04T05:23:14.837Z
FTSE 100,9107.4,9110.4,2025-08-04T05:23:15.573Z
FTSE 100,9107.8,9110.8,2025-08-04T05:23:15.672Z
FTSE 100,9107.3,9110.3,2025-08-04T05:23:16.295Z
FTSE 100,9107.7,9110.7,2025-08-04T05:23:16.462Z
FTSE 100,9107.4,9110.4,2025-08-04T05:23:16.568Z
FTSE 100,9106.8,9109.8,2025-08-04T05:23:16.738Z
FTSE 100,9107.3,9110.3,2025-08-04T05:23:16.871Z
FTSE 100,9107.6,9110.6,2025-08-04T05:23:17.341Z
FTSE 100,9108,9111,2025-08-04T05:23:17.421Z
